Number                  	Name                    	
________________________	________________________	

0                       	Разработать шифратор    	

  1                     	Подготовить             	
                        	теоретическую базу      	

    1.1                 	Изучить способы         	
                        	шифрования              	

    1.2                 	Изучить принципы        	
                        	шифрования              	

    1.3                 	Выбрать метод шифрования	

  2                     	Разработать ГПИ         	

    2.1                 	Разработать внешний вид 	

    2.2                 	Разработать главное меню	

    2.3                 	Написать справку        	

    2.4                 	Присвоить горячие       	
                        	клавиши                 	

    2.5                 	Обеспечить ввод         	

    2.6                 	Обеспечить              	
                        	взаимодействие с        	
                        	файловой системой       	

  3                     	Разработать алгоритм    	
                        	шифрования              	

    1                   	Обеспечить определение  	
                        	типа файла              	

    2                   	Обеспечить различные    	
                        	способы шифрования      	

    3                   	Обеспечить модификацию  	
                        	ключа                   	

    4                   	Обеспечить чтение файла 	

    5                   	Обеспечить создание     	
                        	зашифрованного файла    	

  4                     	Протестировать          	

    7                   	Протестировать          	
                        	шифрование              	

    6                   	Протестировать ГПИ      	

    9                   	Исправить алгоритм      	
                        	шифрования              	

    8                   	Исправить ГПИ           	

